----system---- ---load-avg--- --total-cpu-usage-- -dsk/total- -net/total- ---paging-- ---system-- ------memory-usage----- ---procs---
     time     | 1m   5m  15m |usr sys idl wai stl| read  writ| recv  send|  in   out | int   csw | used  free  buff  cach|run blk new
30-11 11:04:55|0.08 0.02 0.01|  0   0 100   0   0|  14k   82k|   0     0 |   0     0 | 329   564 |1221M 1884M  144M 4292M|3.0   0 0.4
30-11 11:04:56|0.08 0.02 0.01| 25   1  70   5   0|   0    65M|1140B    0 |   0     0 |1274  1845 |1224M 1881M  144M 4292M|1.0   0 4.0
30-11 11:04:57|0.15 0.03 0.01| 25   0  75   0   0|   0     0 | 694B    0 |   0     0 | 642   717 |1224M 1881M  144M 4292M|2.0   0 1.0
30-11 11:04:58|0.15 0.03 0.01| 20   9  67   3   0| 400k 4372k|1086B 2712B|   0     0 |3454  5928 |1233M 1872M  144M 4292M|4.0 3.0  13
30-11 11:04:59|0.15 0.03 0.01| 25   3  43  29   0|1536k   19M| 930B 1470B|   0     0 |  11k   20k|1241M 1864M  144M 4292M|4.0 1.0 6.0
30-11 11:05:00|0.15 0.03 0.01| 29   4  41  25   0|   0    16M|1224B 5352B|   0     0 |  12k   21k|1242M 1863M  144M 4293M|2.0   0 2.0
30-11 11:05:01|0.15 0.03 0.01| 24   6  41  24   5|1136k   14M| 630B 1310B|   0     0 |9780    18k|1254M 1850M  144M 4293M|2.0 1.0  43
30-11 11:05:02|0.46 0.10 0.03|  7   5  50  18  19|   0  7808k|1632B 3712B|   0     0 |6299    11k|1254M 1850M  144M 4293M|2.0   0 1.0
30-11 11:05:03|0.46 0.10 0.03|  3   4  68  16   9|   0  8916k| 858B  786B|   0     0 |5381    12k|1254M 1850M  144M 4294M|  0 1.0 1.0
30-11 11:05:04|0.46 0.10 0.03|  1   2  70  20   6|   0  7944k| 694B    0 |   0     0 |4734  8642 |1254M 1850M  144M 4294M|2.0   0 1.0
30-11 11:05:05|0.46 0.10 0.03|  2   2  85   9   2| 704k 6688k|1236B 1692B|   0     0 |3344  6355 |1257M 1847M  144M 4294M|1.0   0 1.0
